,x,y,skill_id,Навык,Профессия,size
0,-8.991264,-10.281999,5,Бизнес-анализ,Бизнес-аналитик,15.8
1,-8.479693,-9.842511,158,Моделирование бизнес процессов,Бизнес-аналитик,13.759427207637227
2,-5.265017,-5.4454136,2,Аналитическое мышление,Бизнес-аналитик,11.79045346062053
3,-10.234135,-10.167551,265,BPMN,Бизнес-аналитик,9.749880668257754
4,-7.058705,-6.467622,19,1С: Предприятие 8,Бизнес-аналитик,9.06968973747017
5,-2.140256,-4.295081,84,Английский,Бизнес-аналитик,8.35369928400954
6,-0.05774284,-4.2943864,24,SQL,Бизнес-аналитик,6.098329355608588
7,-9.255919,-9.083643,305,Разработка технических заданий,Бизнес-аналитик,5.2749403341288765
8,-7.0083,-7.6112494,78,Деловая коммуникация,Бизнес-аналитик,5.167541766109777
9,-10.700415,-9.553972,333,UML,Бизнес-аналитик,4.379952267303093
10,-6.0270624,-3.3049371,43,MS Excel,Бизнес-аналитик,3.5923627684964083
11,-9.361388,-10.499088,430,MS Visio,Бизнес-аналитик,3.449164677804305
12,-7.9144473,-7.877371,119,Управление проектами,Бизнес-аналитик,3.2343675417661037
13,-3.5074766,-5.5416393,491,Анализ данных,Бизнес-аналитик,2.7331742243436734
14,-8.084131,-8.387487,398,Системное мышление,Бизнес-аналитик,2.124582338902141
15,-6.567785,-3.4022892,26,MS PowerPoint,Бизнес-аналитик,2.0887828162291155
16,-5.7154617,-6.793357,683,Работа в команде,Бизнес-аналитик,2.052983293556089
17,-11.400766,-9.369058,214,Системный анализ,Бизнес-аналитик,2.0171837708830633
18,-9.703421,-8.449049,1295,Atlassian Jira,Бизнес-аналитик,1.9813842482100148
19,-1.6685798,-4.803078,151,Работа с большим объемом информации,Бизнес-аналитик,1.9455847255369887
20,-10.088869,-9.045263,1107,Постановка задач разработчикам,Бизнес-аналитик,1.7665871121718366
21,-7.3288393,-8.724834,450,Автоматизация процессов,Бизнес-аналитик,1.7307875894988105
22,-9.322205,-7.993529,15,Agile,Бизнес-аналитик,1.6949880668257622
23,-6.0212708,-5.178443,68,Работа в условиях многозадачности,Бизнес-аналитик,1.5517899761336582
24,-9.778784,-9.267909,1650,Atlassian Confluence,Бизнес-аналитик,1.5517899761336582
25,-3.6719744,-5.5977354,343,Power BI,Бизнес-аналитик,1.4443914081145577
26,-5.873111,-5.8119283,946,Сбор и анализ информации,Бизнес-аналитик,1.4443914081145577
27,-5.7004557,-5.0149035,281,Грамотная речь,Бизнес-аналитик,1.372792362768483
28,-9.542697,-10.411259,169,IDEF,Бизнес-аналитик,1.2653937947494054
29,-7.4209285,-1.2117153,135,Анализ рынка,Бизнес-аналитик,1.0505966587112043
30,-0.33927864,-4.6728945,675,MS SQL,Бизнес-аналитик,1.0147971360381784
31,-8.701551,-8.2176485,54,Техническая документация,Бизнес-аналитик,1.0147971360381784
32,-2.1690292,6.6112285,796,EPC,Бизнес-аналитик,1.0147971360381784
33,1.6836092,-2.7131217,126,Python,Бизнес-аналитик,1.0147971360381784
34,-9.036478,-8.8358135,650,ERP,Бизнес-аналитик,0.9431980906921266
35,-7.7624426,-7.4966145,123,CRM,Бизнес-аналитик,0.871599045346052
36,-6.523355,-4.1811895,577,Подготовка презентаций,Бизнес-аналитик,0.8
2,-5.265017,-5.4454136,2,Аналитическое мышление,Data Scientist,1.9290322580645267
5,-2.140256,-4.295081,84,Английский,Data Scientist,6.243548387096786
6,-0.05774284,-4.2943864,24,SQL,Data Scientist,10.235483870967743
8,-7.0083,-7.6112494,78,Деловая коммуникация,Data Scientist,1.0822580645161317
13,-3.5074766,-5.5416393,491,Анализ данных,Data Scientist,4.26774193548388
16,-5.7154617,-6.793357,683,Работа в команде,Data Scientist,0.8
19,-1.6685798,-4.803078,151,Работа с большим объемом информации,Data Scientist,3.4209677419354847
